16:16:51.718 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6d0bcf8c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@a1a72d4, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@66d44581, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1afa048a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@293ecff6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70eb94d7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@34d72f06, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7e43b342, org.springframework.test.context.event.EventPublishingTestExecutionListener@21dd9203, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@dbcf7c3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e466d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@63243c8f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2ea4e762, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@444c0f9a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@36931450]
16:16:51.775 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - Starting PhoneappApplicationTest using Java 1.8.0_291 on XPS15-9500 with PID 4336 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
16:16:51.776 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - No active profile set, falling back to default profiles: default
16:16:51.999 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:16:52.013 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 2 JPA repository interfaces.
16:16:52.158 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:16:52.167 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
16:16:52.168 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
16:16:52.168 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
16:16:52.219 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16:16:52.220 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:16:52.301 [main] INFO  c.l.phoneapp.PhoneappApplication - Saving phone data into the database...
16:16:52.492 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
