16:26:04.918 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@b63365c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6839d03b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@a44ad33, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@703e5614, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@627d5f99, org.springframework.test.context.support.DirtiesContextTestExecutionListener@44e3f3e5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6be1f37f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@69ed96e1, org.springframework.test.context.event.EventPublishingTestExecutionListener@61648dd2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3ac326c0, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5e5d40ec, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5b028f58, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1e4d93f7, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d1b43d8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@9f52eb7]
16:26:04.951 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - Starting PhoneappApplicationTest using Java 1.8.0_291 on XPS15-9500 with PID 15640 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
16:26:04.952 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - No active profile set, falling back to default profiles: default
16:26:05.181 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:26:05.192 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 2 JPA repository interfaces.
16:26:05.335 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:26:05.341 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
16:26:05.342 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
16:26:05.342 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
16:26:05.381 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16:26:05.381 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:26:05.430 [main] INFO  c.l.phoneapp.PhoneappApplication - Saving phone data into the database...
16:26:05.599 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
