15:35:42.012 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.luisgomezcaballero.phoneapp.SmokeTest], using SpringBootContextLoader
15:35:42.016 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: no resource found for suffixes {-context.xml, Context.groovy}.
15:35:42.016 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: SmokeTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:35:42.018 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.luisgomezcaballero.phoneapp.PhoneappApplication for test class com.luisgomezcaballero.phoneapp.SmokeTest
15:35:42.021 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
15:35:42.022 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@14d1032a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@414e8b31, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@b90c5a5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1786150f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@bd28c86, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3ef089ce, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3340ce58, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@14499b52, org.springframework.test.context.event.EventPublishingTestExecutionListener@be083e1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3164d5aa, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4e3ffd0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ca86715, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@53d808ea, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@44864ebe, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5f803481]
15:35:42.083 [main] INFO  c.l.phoneapp.SmokeTest - Starting SmokeTest using Java 1.8.0_291 on XPS15-9500 with PID 3108 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
15:35:42.085 [main] INFO  c.l.phoneapp.SmokeTest - No active profile set, falling back to default profiles: default
15:35:42.323 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15:35:42.335 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 2 JPA repository interfaces.
15:35:42.495 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15:35:42.502 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
