16:26:31.505 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@61607ff0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@58945295, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@b63365c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6839d03b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@a44ad33, org.springframework.test.context.support.DirtiesContextTestExecutionListener@703e5614, org.springframework.test.context.transaction.TransactionalTestExecutionListener@627d5f99, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@44e3f3e5, org.springframework.test.context.event.EventPublishingTestExecutionListener@6be1f37f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@69ed96e1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@61648dd2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3ac326c0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e5d40ec, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5b028f58, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1e4d93f7]
16:26:31.535 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - Starting PhoneappApplicationTest using Java 1.8.0_291 on XPS15-9500 with PID 25396 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
16:26:31.536 [main] INFO  c.l.phoneapp.PhoneappApplicationTest - No active profile set, falling back to default profiles: default
16:26:31.732 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:26:31.744 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 2 JPA repository interfaces.
16:26:31.905 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:26:31.912 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
16:26:31.913 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
16:26:31.913 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
16:26:31.956 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
16:26:31.957 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:26:32.012 [main] INFO  c.l.phoneapp.PhoneappApplication - Saving phone data into the database...
16:26:32.170 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
